Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Ordered_Date_Year,Ordered_Date_Month,Ordered_Date_Day,Time_OrderPicked_hours,Time_OrderPicked_mins,Time_Orderd_hours,Time_Orderd_mins,Distance_covered,Time_taken (min)
39.0,4.5,Sandstorms,Low,2,motorcycle,0.0,No,Metropolitian,2022,2,17,19,35,19,35,4.464846077192792,22
28.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Urban,2022,3,15,23,55,23,40,4.610621612645187,10
36.0,4.5,Fog,Low,1,scooter,1.0,No,Metropolitian,2022,3,28,10,40,10,35,3.019099196741175,19
21.0,4.9,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,14,21,45,21,30,10.485867717329027,35
23.0,4.6,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,4,4,19,45,19,30,16.72143013885536,30
25.0,4.7,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,21,50,21,45,11.983656938071034,37
27.0,4.7,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,8,22,55,22,45,13.68204452608078,23
22.0,4.7,Windy,High,0,motorcycle,0.0,No,Metropolitian,2022,3,19,11,55,11,45,3.063638579712219,29
34.0,4.6,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,26,18,35,18,30,9.435201537430713,25
24.0,4.8,Stormy,Low,2,scooter,0.0,No,Urban,2022,3,25,22,35,22,30,16.635518179509837,11
32.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,4,17,50,17,45,19.91643253383936,39
30.0,4.4,Stormy,Jam,1,motorcycle,2.0,No,Urban,2022,3,23,20,35,20,25,13.78848075238715,39
26.0,4.6,Sunny,Medium,2,scooter,1.0,No,Metropolitian,2022,3,6,17,35,17,30,10.86742683448048,18
30.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,2022,3,2,18,35,18,30,20.18063511411472,33
31.0,4.8,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,13,18,15,18,10,7.761486237714824,24
31.0,4.8,Fog,Low,1,scooter,1.0,No,Metropolitian,2022,3,28,10,55,10,50,1.4901538808207615,18
39.0,4.8,Cloudy,High,2,scooter,1.0,No,Metropolitian,2022,2,17,11,30,11,20,1.5725337292863206,39
38.0,4.7,Sunny,High,2,scooter,1.0,No,Urban,2022,3,3,11,40,11,30,3.059443338897214,18
30.0,4.9,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,2022,3,21,19,40,19,25,4.469620875558295,30
28.0,4.5,Fog,High,2,scooter,1.0,No,Metropolitian,2022,4,5,14,5,13,50,6.14663364596065,21
30.0,4.9,Fog,Medium,2,scooter,0.0,No,Urban,2022,4,3,18,10,17,55,9.121049806498666,16
37.0,4.1,Sandstorms,High,2,scooter,0.0,No,Metropolitian,2022,3,13,12,35,12,25,6.210946741810896,32
36.0,4.7,Windy,Low,2,scooter,1.0,No,Metropolitian,2022,4,4,22,40,22,25,20.206420943723728,21
20.0,4.9,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,2022,3,12,20,20,20,10,12.43553817483687,42
34.0,4.6,Cloudy,Medium,2,scooter,0.0,No,Urban,2022,3,1,17,40,17,30,7.57343592001983,17
26.0,4.7,Stormy,Low,2,scooter,1.0,No,,2022,2,18,22,50,22,40,20.28602593785875,17
38.0,3.5,Windy,Jam,2,electric_scooter,0.0,No,Urban,2022,3,20,19,35,19,25,20.86362506156607,41
33.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,2022,3,8,19,35,22,50,19.659792615101523,30
37.0,5.0,Windy,Low,0,motorcycle,1.0,No,Urban,2022,3,31,22,40,22,35,19.615926964388624,28
31.0,4.6,Fog,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,11,23,55,23,40,4.657579589646204,16
29.0,4.6,Fog,Jam,2,scooter,0.0,No,Metropolitian,2022,3,5,22,5,19,35,4.674174529063472,26
20.0,4.1,Stormy,Medium,0,motorcycle,1.0,No,Urban,2022,3,8,17,25,17,20,20.20631641648197,35
36.0,5.0,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,18,20,25,20,10,20.44292976252901,17
34.0,4.5,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,9,17,35,17,20,9.315745106316244,26
28.0,4.6,Fog,High,0,motorcycle,0.0,No,Metropolitian,2022,2,17,11,35,11,25,3.121378243248519,21
31.0,4.4,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,8,19,25,19,20,10.865084189986677,36
25.0,5.0,Stormy,High,2,motorcycle,1.0,No,Metropolitian,2022,4,3,11,45,11,40,3.108902629159348,29
22.0,4.6,Sunny,Medium,1,motorcycle,0.0,No,Urban,2022,3,6,17,50,17,40,17.07362495419754,13
23.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,2022,2,17,10,45,10,35,1.543962384290521,19
37.0,5.0,Sandstorms,High,2,scooter,1.0,No,Urban,2022,3,19,19,35,13,45,6.081596950437154,28
34.0,4.2,Windy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,1,10,55,10,45,3.073397297636044,25
36.0,4.8,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,2022,3,14,17,55,17,50,13.407092693002484,15
36.0,5.0,Sandstorms,Jam,2,motorcycle,0.0,No,Metropolitian,2022,3,30,19,35,19,50,4.590648124312415,32
22.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,14,22,40,22,35,12.256927745913815,20
28.0,4.5,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,25,22,25,22,20,19.976095320024395,22
28.0,4.6,Stormy,Medium,2,electric_scooter,1.0,No,Urban,2022,3,15,19,35,15,45,6.081387490813416,25
50.0,6.0,,,3,scooter,1.0,No,Metropolitian,2022,2,13,19,35,19,35,18093.17983804978,15
28.0,4.6,Sandstorms,Medium,1,scooter,0.0,No,Metropolitian,2022,3,8,18,10,17,55,16.385045825961107,19
38.0,4.8,Windy,Low,2,motorcycle,1.0,No,Urban,2022,3,21,9,20,9,15,3.064002956584147,24
34.0,4.6,Fog,Jam,0,motorcycle,1.0,No,Urban,2022,3,3,21,45,21,35,9.326113870789774,30
38.0,4.9,Windy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,4,23,20,23,10,13.773737657079298,25
21.0,4.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,21,30,21,15,16.412746797461725,32
28.0,4.6,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,2022,3,9,19,35,8,55,1.5581369822072066,11
25.0,4.9,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,2022,4,3,15,55,15,40,6.290134677634678,29
39.0,4.6,Sunny,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,16,22,40,22,35,20.206581510507974,16
36.0,3.5,Stormy,Jam,2,scooter,2.0,No,Urban,2022,2,16,21,45,21,40,20.44292976252901,41
23.0,4.8,Sunny,Low,2,scooter,1.0,No,Urban,2022,3,1,19,35,22,55,4.561113588992224,16
,,,,3,scooter,1.0,No,Metropolitian,2022,3,30,20,35,19,35,4.469620875558295,29
20.0,4.2,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,2,14,21,15,19,35,13.588885841387288,35
,,,,3,electric_scooter,0.0,No,Metropolitian,2022,3,13,12,40,19,35,6.290134677634678,29
39.0,4.6,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,16,23,50,23,35,19.671433318359583,27
31.0,4.6,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,25,18,50,18,40,16.851738065958607,46
36.0,5.0,Fog,Low,2,scooter,1.0,No,Urban,2022,3,1,22,55,22,45,9.348403522662323,16
38.0,4.6,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,13,18,5,17,55,9.07534450196205,22
29.0,5.0,Windy,High,0,motorcycle,1.0,No,Metropolitian,2022,4,5,12,15,19,35,3.0736184684147863,22
34.0,4.9,Sunny,Jam,2,electric_scooter,,No,Metropolitian,2022,3,17,19,35,21,50,4.46931202175492,15
32.0,4.8,Fog,Low,1,scooter,0.0,No,Metropolitian,2022,3,28,9,30,9,15,3.145067434621583,15
33.0,4.8,Cloudy,Low,1,scooter,1.0,No,Urban,2022,3,9,8,50,8,35,1.5092307910796248,19
28.0,4.7,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,2022,2,18,22,30,22,25,13.428872375814215,17
33.0,4.9,Cloudy,Low,1,scooter,1.0,No,Metropolitian,2022,3,2,19,35,23,55,19.880040740546,27
29.0,5.0,Cloudy,Low,2,scooter,1.0,No,Urban,2022,3,2,23,5,22,55,13.970632221184006,24
20.0,4.6,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,2022,4,5,17,20,17,10,4.6576255671472415,29
29.0,4.8,Sunny,Low,1,scooter,,No,Metropolitian,2022,3,9,19,35,10,45,3.104691169539904,23
22.0,4.8,Stormy,Medium,1,scooter,1.0,No,Urban,2022,3,2,18,35,18,30,13.407033668284814,15
32.0,4.2,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,28,22,5,21,50,7.448560816474598,32
39.0,4.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,7,19,30,19,25,7.5620793211870625,33
20.0,4.6,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,2022,2,12,19,35,20,45,11.00773476374462,38
27.0,4.6,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,29,19,50,19,40,10.724517748046024,15
35.0,4.9,Sandstorms,Low,2,electric_scooter,1.0,No,Metropolitian,2022,3,24,9,55,9,45,1.5127140854704322,22
33.0,5.0,Stormy,Medium,1,scooter,1.0,No,Metropolitian,2022,4,4,18,10,19,35,10.564987742503256,27
30.0,4.7,Fog,Low,2,motorcycle,0.0,No,Urban,2022,4,3,23,55,23,50,7.562982485200133,16
21.0,4.6,Sunny,High,1,motorcycle,0.0,No,Metropolitian,2022,3,28,11,55,11,50,3.105049191152739,19
26.0,4.5,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,18,20,45,20,40,12.23737947367096,17
26.0,4.1,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,2022,2,12,19,50,19,45,13.428477357470896,36
,,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,9,22,30,22,15,4.663187802146826,25
25.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,2022,2,17,18,40,18,25,7.325558747690406,16
38.0,4.2,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,15,15,45,15,30,6.081139317039376,39
38.0,4.7,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,4,1,21,25,21,20,7.772207463584183,33
21.0,4.6,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,2022,3,5,10,35,10,25,3.029527086813746,17
,,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,15,21,5,19,35,8.79014067052428,24
22.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,2022,3,4,17,40,17,25,16.63651695459671,14
30.0,4.6,Cloudy,Jam,2,electric_scooter,2.0,No,Metropolitian,2022,3,3,19,35,21,45,7.601066543768378,38
37.0,5.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,2022,4,1,9,25,9,15,3.1161407812915187,29
24.0,4.6,Fog,Medium,2,scooter,0.0,No,Metropolitian,2022,4,3,19,35,15,55,6.21800234869445,17
27.0,4.9,Sunny,Jam,1,motorcycle,0.0,No,Urban,2022,3,11,21,50,21,45,4.5279972125744,19
38.0,4.8,Sunny,Medium,1,scooter,1.0,No,Metropolitian,2022,3,31,19,5,18,50,19.97528686238852,23
34.0,4.4,Stormy,Jam,2,scooter,1.0,No,Urban,2022,3,5,19,35,21,45,7.762944133594541,31
38.0,4.8,Stormy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,15,18,55,18,40,9.348112475389565,28
38.0,3.9,Sandstorms,Jam,1,motorcycle,2.0,No,Metropolitian,2022,3,2,19,50,19,40,12.435204072231338,34
22.0,4.8,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,2022,3,2,19,45,19,40,20.252967850083056,27
23.0,4.9,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,2022,3,18,20,20,20,10,20.25510293833981,23
24.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Urban,2022,2,11,10,25,10,15,1.5725337292863206,16
35.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,2022,4,5,22,35,22,20,9.17785559642758,16
21.0,4.8,Sandstorms,Low,2,motorcycle,0.0,No,Urban,2022,3,21,8,35,8,30,3.1089029191679383,13
26.0,4.1,Fog,Jam,2,scooter,1.0,No,Metropolitian,2022,3,29,20,10,19,55,13.972131143083212,36
38.0,4.8,Fog,Low,2,electric_scooter,1.0,No,,2022,3,11,9,55,9,50,1.5204696675466998,19
32.0,4.9,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,2022,4,6,20,5,19,35,17.074879617078196,28
28.0,4.7,Fog,Medium,1,motorcycle,0.0,No,Urban,2022,3,19,19,35,17,50,4.717601092054723,19
30.0,4.6,Sandstorms,Low,2,motorcycle,1.0,No,Urban,2022,3,5,9,40,9,35,1.5126978119717678,23
39.0,4.6,Cloudy,Jam,2,motorcycle,1.0,Yes,Semi-Urban,2022,3,29,19,35,21,45,16.818368923732613,47
21.0,4.9,Fog,High,0,motorcycle,,No,Metropolitian,2022,3,21,11,40,11,30,1.532022774064172,20
25.0,4.8,Windy,High,1,motorcycle,1.0,No,Metropolitian,2022,2,11,13,25,13,15,5.968779676050775,28
,,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,2022,4,5,15,30,19,35,4707.899348647743,16
22.0,4.7,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,2022,3,9,18,10,17,55,4.674341511234465,21
25.0,4.4,Fog,Jam,1,motorcycle,1.0,Yes,Metropolitian,2022,3,14,21,10,19,35,13.788852089943369,44
25.0,4.6,Fog,Medium,2,electric_scooter,0.0,No,Metropolitian,2022,3,26,18,5,19,35,9.219878421275038,10
37.0,4.4,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,2022,4,6,19,35,18,45,20.253584375809144,39
33.0,4.9,Sunny,High,0,motorcycle,0.0,No,Metropolitian,2022,3,15,11,25,11,15,3.0408940852046724,26
33.0,4.2,Cloudy,Medium,1,scooter,2.0,No,Urban,2022,3,16,17,25,17,15,12.256834609677016,42
33.0,4.7,Sunny,Low,1,scooter,0.0,No,Urban,2022,3,13,22,45,22,35,7.761735387691425,12
32.0,4.6,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,2022,4,2,20,15,20,10,20.44292976252901,38
27.0,4.0,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,2022,3,5,8,35,8,30,1.5147453171152914,18
38.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,2022,3,26,19,15,19,10,7.862668167410368,30
30.0,4.6,Sunny,Low,2,scooter,1.0,No,Metropolitian,2022,2,16,22,35,22,20,14.15280068944862,25
28.0,4.1,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,2022,2,14,21,25,21,15,11.748326016095028,32
30.0,4.9,Sunny,Medium,2,scooter,1.0,No,Metropolitian,2022,3,31,18,55,18,40,19.76089839940378,22
23.0,4.6,Fog,Low,1,motorcycle,1.0,No,Metropolitian,2022,2,15,8,30,8,25,3.145067434621583,14
31.0,4.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,2022,4,1,10,55,10,45,1.5321547990764783,23
20.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,2022,3,25,21,35,21,25,10.709003371535417,32
32.0,4.2,Fog,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,26,22,15,19,35,4.528158738548494,39
21.0,4.8,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,20,20,55,20,45,12.463888116757747,16
34.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,18,18,55,18,45,10.64218546208277,27
20.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Urban,2022,3,28,19,35,19,30,9.17860595704086,25
,,,,0,motorcycle,1.0,No,Metropolitian,2022,3,30,19,35,19,35,17123.07429430001,25
31.0,4.9,Sandstorms,Jam,0,motorcycle,1.0,No,Semi-Urban,2022,4,3,19,35,19,30,7.683740930982763,46
20.0,4.8,Sandstorms,Low,1,motorcycle,0.0,No,,2022,4,4,19,35,23,45,20.18125982649362,14
29.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Urban,2022,3,6,19,35,23,50,16.90249592854745,28
23.0,3.8,Sunny,Jam,0,motorcycle,2.0,Yes,Metropolitian,2022,3,13,19,30,19,25,7.762633866101877,41
39.0,4.5,Sunny,Low,1,scooter,1.0,No,Urban,2022,3,16,22,30,22,25,19.917359352866207,24
27.0,4.6,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,2022,3,28,8,50,8,35,1.5322885596942126,17
33.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,2022,3,6,19,45,19,35,12.421242442902573,29
24.0,4.8,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,30,10,25,10,20,3.1048037532854496,11
21.0,4.3,Sandstorms,Jam,0,motorcycle,1.0,No,Urban,2022,3,30,21,30,21,25,4.528164580408178,38
35.0,4.3,Sandstorms,High,0,motorcycle,1.0,No,Metropolitian,2022,2,11,11,40,11,25,1.5725337292863206,43
32.0,4.6,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,2,18,19,5,18,55,14.045114628498522,30
26.0,4.2,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,2022,3,25,19,15,19,35,13.68092007746041,35
23.0,4.9,Sandstorms,Jam,1,motorcycle,0.0,No,Metropolitian,2022,4,2,21,35,21,20,19.761706467413592,25
38.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,2022,3,13,18,25,18,10,7.763161028493024,20
39.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,2022,3,21,8,40,8,35,3.059363454723932,20
28.0,4.6,Fog,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,8,22,55,22,45,13.830709083522445,25
37.0,4.6,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,2022,3,26,22,10,21,55,9.179538450826046,19
26.0,4.9,Cloudy,High,2,electric_scooter,1.0,No,Metropolitian,2022,3,11,11,40,11,35,1.5525722988574742,31
26.0,4.7,Cloudy,High,1,scooter,1.0,No,Metropolitian,2022,3,5,12,40,12,35,6.147383751705428,33
28.0,4.7,Stormy,Jam,2,scooter,1.0,No,Metropolitian,2022,3,30,19,35,21,55,9.05586019430546,18
23.0,4.8,Windy,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,14,19,35,23,55,20.25292440884735,18
29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,,2022,3,3,8,35,8,25,3.058924545938562,27
38.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,19,17,20,17,15,7.562414628937605,28
21.0,4.7,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,2022,3,28,16,45,16,40,6.0497653967074685,16
20.0,4.8,Stormy,Jam,1,scooter,0.0,No,Metropolitian,2022,3,16,20,25,20,10,13.61385032584042,25
25.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,11,9,50,9,35,3.1051455399287056,20
28.0,4.9,Sunny,Low,2,scooter,0.0,No,Urban,2022,3,15,19,35,10,55,1.5725337292863206,19
22.0,4.7,Windy,Medium,1,scooter,1.0,No,Urban,2022,3,29,17,30,17,15,10.708220667367794,28
32.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,2022,4,3,9,30,9,15,1.5298253586323256,16
31.0,5.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,2022,3,6,22,5,19,35,10.72467208673564,36
30.0,4.8,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,2022,3,13,18,25,18,15,7.762596264580148,23
26.0,4.6,Fog,Medium,1,scooter,1.0,No,Metropolitian,2022,3,25,17,55,17,45,10.58681760722298,25
32.0,4.2,Cloudy,Jam,1,scooter,0.0,No,Metropolitian,2022,3,4,19,35,19,50,19.87743959766233,40
22.0,5.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,2,22,50,22,45,10.588906536688087,19
23.0,4.5,Sunny,Medium,1,scooter,0.0,No,Urban,2022,3,29,18,25,18,20,12.435256015114376,11
30.0,5.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,2022,3,29,23,15,23,10,12.294166376369663,20
27.0,5.0,Fog,Low,1,scooter,1.0,No,Metropolitian,2022,3,3,22,45,22,35,4.674173521866281,13
27.0,4.8,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,4,20,50,20,40,12.071652559029582,41
38.0,4.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,18,19,35,22,45,12.35809128933754,41
37.0,4.6,Sunny,Jam,1,scooter,1.0,No,Metropolitian,2022,3,24,21,30,21,20,9.314781588433537,22
30.0,4.9,Fog,Low,2,scooter,0.0,No,Metropolitian,2022,3,20,23,5,22,55,19.659373527443684,30
22.0,5.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,26,23,30,23,15,9.22031682218032,17
34.0,5.0,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,2022,3,18,19,55,19,45,16.636744591831217,39
33.0,4.7,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,2022,2,17,10,25,10,20,1.488122293779747,25
25.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,2022,3,1,10,30,10,20,1.5581398113186735,14
36.0,4.8,Fog,Medium,1,motorcycle,1.0,No,Urban,2022,3,31,18,50,18,45,16.72059667667709,35
35.0,4.3,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,15,22,10,21,55,9.121874081416118,33
29.0,5.0,Fog,Medium,2,scooter,0.0,No,Urban,2022,3,24,16,10,15,55,6.081389116676368,12
24.0,4.5,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,2022,3,13,9,35,9,30,1.514793721388757,13
